time,ds_id,lon,lat
6,5,117.52612,23.641002
6,5,117.467012,23.523457
6,5,117.436735,23.496575
6,5,117.704139,23.568952
6,5,117.595201,23.577589
6,5,117.624706,23.61287
6,5,117.723873,23.721869
6,5,117.575403,23.586731
6,5,117.605274,23.622859
6,5,117.565834,23.595968
6,5,117.664627,23.595663
6,5,117.783397,23.586957
6,5,117.625128,23.614804
6,5,117.358006,23.514077
12,5,117.527078,23.641426
12,5,117.466865,23.523711
12,5,117.70541,23.570251
12,5,117.596468,23.578103
12,5,117.62532,23.612383
12,5,117.72531,23.720799
12,5,117.576505,23.587205
12,5,117.605998,23.622823
12,5,117.566634,23.596086
12,5,117.665297,23.594577
12,5,117.358283,23.514327
12,5,117.754942,23.59704
12,5,117.576124,23.659314
18,5,117.528021,23.641717
18,5,117.467123,23.523823
18,5,117.437695,23.496056
18,5,117.70594,23.569745
18,5,117.596901,23.577581
18,5,117.625842,23.611792
18,5,117.725368,23.722473
18,5,117.577607,23.587698
18,5,117.606805,23.622818
18,5,117.567655,23.596658
18,5,117.666542,23.595844
18,5,117.785396,23.58836
18,5,117.626758,23.615219
18,5,117.360128,23.512658
18,5,117.755649,23.596041
18,5,117.576616,23.660103
18,5,117.535148,23.593112
24,5,117.528892,23.642075
24,5,117.468308,23.523507
24,5,117.438146,23.49595
24,5,117.70676,23.569969
24,5,117.597624,23.57755
24,5,117.626521,23.611552
24,5,117.725955,23.72303
24,5,117.578426,23.587809
24,5,117.607708,23.623196
24,5,117.568655,23.596986
24,5,117.667343,23.5951
24,5,117.786061,23.587103
24,5,117.627522,23.61544
24,5,117.360043,23.513171
24,5,117.756712,23.596413
24,5,117.577201,23.66066
24,5,117.534866,23.592079
30,5,117.529758,23.642459
30,5,117.468958,23.523463
30,5,117.439367,23.495349
30,5,117.598558,23.577796
30,5,117.727064,23.722625
30,5,117.579536,23.588458
30,5,117.608498,23.623497
30,5,117.569447,23.597063
30,5,117.668296,23.595403
30,5,117.786847,23.587018
30,5,117.628248,23.615674
30,5,117.359899,23.513814
30,5,117.757595,23.595961
30,5,117.577775,23.66127
30,5,117.535001,23.591229
36,5,117.53068,23.642858
36,5,117.439585,23.495336
36,5,117.708699,23.571145
36,5,117.627679,23.610513
36,5,117.727159,23.724038
36,5,117.580578,23.58878
36,5,117.609275,23.623748
36,5,117.57041,23.59738
36,5,117.668848,23.594064
36,5,117.788155,23.589036
36,5,117.629258,23.616979
36,5,117.360849,23.513174
36,5,117.75866,23.596523
36,5,117.578661,23.661276
36,5,117.534607,23.59023
42,5,117.531559,23.64311
42,5,117.47,23.523324
42,5,117.439775,23.495215
42,5,117.709445,23.571071
42,5,117.600136,23.577735
42,5,117.628116,23.609647
42,5,117.728218,23.723797
42,5,117.58128,23.58883
42,5,117.610064,23.623367
42,5,117.571355,23.597678
42,5,117.670027,23.594726
42,5,117.788991,23.589081
42,5,117.630103,23.617211
42,5,117.362344,23.51207
42,5,117.759592,23.596207
42,5,117.579248,23.6619
42,5,117.534498,23.58935
48,5,117.532512,23.643413
48,5,117.471018,23.523107
48,5,117.440033,23.495123
48,5,117.601191,23.577941
48,5,117.628776,23.60931
48,5,117.72966,23.722703
48,5,117.582154,23.589077
48,5,117.572207,23.597884
48,5,117.789923,23.588967
48,5,117.363162,23.511548
48,5,117.760621,23.596442
48,5,117.579755,23.662601
48,5,117.534297,23.588398
54,5,117.533378,23.64375
54,5,117.471605,23.523157
54,5,117.44028,23.494988
54,5,117.71133,23.572156
54,5,117.602146,23.578157
54,5,117.729929,23.724021
54,5,117.583185,23.589425
54,5,117.611779,23.623997
54,5,117.573168,23.598205
54,5,117.671606,23.593994
54,5,117.790605,23.588138
54,5,117.631726,23.618269
54,5,117.363359,23.511793
54,5,117.761159,23.59445
54,5,117.580495,23.662901
54,5,117.53451,23.587552
60,5,117.534375,23.644085
60,5,117.471887,23.523208
60,5,117.441549,23.494433
60,5,117.712189,23.572522
60,5,117.602502,23.577585
60,5,117.629924,23.608427
60,5,117.730212,23.725107
60,5,117.584041,23.589693
60,5,117.612471,23.623531
60,5,117.574297,23.598754
60,5,117.67221,23.592786
60,5,117.791711,23.589256
60,5,117.632425,23.618294
60,5,117.364428,23.511084
60,5,117.762263,23.59543
60,5,117.580905,23.663671
60,5,117.534571,23.586717
66,5,117.535185,23.644448
66,5,117.473589,23.522759
66,5,117.441822,23.494357
66,5,117.713082,23.572931
66,5,117.603487,23.577821
66,5,117.630662,23.608312
66,5,117.732094,23.723232
66,5,117.585053,23.590125
66,5,117.613342,23.62346
66,5,117.57529,23.599105
66,5,117.792377,23.58821
66,5,117.633332,23.618755
66,5,117.36524,23.510646
66,5,117.763726,23.59819
66,5,117.581664,23.663868
66,5,117.534179,23.585682
72,5,117.536208,23.644694
72,5,117.473369,23.522898
72,5,117.442033,23.49433
72,5,117.71394,23.573173
72,5,117.604277,23.577664
72,5,117.631061,23.607181
72,5,117.732285,23.724461
72,5,117.585989,23.590406
72,5,117.614116,23.623921
72,5,117.576059,23.599124
72,5,117.674062,23.592788
72,5,117.634108,23.618946
72,5,117.365993,23.510275
72,5,117.764659,23.598224
72,5,117.582112,23.664719
72,5,117.534474,23.584921
78,5,117.537018,23.645072
78,5,117.474312,23.522823
78,5,117.442834,23.493893
78,5,117.71463,23.57304
78,5,117.605342,23.578121
78,5,117.631602,23.606453
78,5,117.732906,23.725113
78,5,117.586969,23.590772
78,5,117.614955,23.623934
78,5,117.674984,23.592751
78,5,117.794442,23.589805
78,5,117.635044,23.620415
78,5,117.365956,23.510663
78,5,117.765545,23.597687
78,5,117.582901,23.664986
78,5,117.534318,23.58397
84,5,117.537926,23.645535
84,5,117.474443,23.522914
84,5,117.443729,23.493574
84,5,117.715659,23.573686
84,5,117.606045,23.577937
84,5,117.632093,23.605568
84,5,117.734421,23.723884
84,5,117.587465,23.590493
84,5,117.577851,23.599584
84,5,117.795536,23.590872
84,5,117.367282,23.509671
84,5,117.766459,23.596828
84,5,117.58369,23.665183
84,5,117.534007,23.583046
90,5,117.53878,23.645806
90,5,117.475842,23.522652
90,5,117.443365,23.493765
90,5,117.716485,23.574043
90,5,117.607034,23.578168
90,5,117.734735,23.72503
90,5,117.58864,23.591114
90,5,117.616502,23.624556
90,5,117.676731,23.592221
90,5,117.636626,23.620546
90,5,117.367638,23.509746
90,5,117.767264,23.596413
90,5,117.584269,23.665762
90,5,117.534152,23.58219
96,5,117.539775,23.646175
96,5,117.476402,23.522533
96,5,117.443951,23.493508
96,5,117.717548,23.574696
96,5,117.607477,23.577666
96,5,117.633464,23.605317
96,5,117.735691,23.724715
96,5,117.57977,23.600116
96,5,117.677623,23.592251
96,5,117.797164,23.590092
96,5,117.369411,23.508294
96,5,117.768353,23.597223
96,5,117.584866,23.666329
96,5,117.534259,23.581355
102,5,117.540628,23.64662
102,5,117.477527,23.522342
102,5,117.445116,23.492942
102,5,117.60844,23.577853
102,5,117.633829,23.604138
102,5,117.736893,23.724121
102,5,117.590761,23.592019
102,5,117.618164,23.623804
102,5,117.6788,23.592986
102,5,117.798388,23.592154
102,5,117.638299,23.621645
102,5,117.369788,23.508306
102,5,117.769347,23.597776
102,5,117.585637,23.666643
102,5,117.533871,23.580304
108,5,117.541496,23.64698
108,5,117.47781,23.522356
108,5,117.444866,23.493117
108,5,117.719017,23.574603
108,5,117.609382,23.57817
108,5,117.634599,23.604164
108,5,117.737105,23.725502
108,5,117.619002,23.62437
108,5,117.581676,23.600871
108,5,117.679179,23.591056
108,5,117.799143,23.591212
108,5,117.639209,23.622471
108,5,117.370683,23.507788
108,5,117.770241,23.596824
108,5,117.586198,23.667229
108,5,117.534128,23.579555
114,5,117.542518,23.647237
114,5,117.477927,23.522404
114,5,117.446705,23.492278
114,5,117.720491,23.576728
114,5,117.610062,23.577941
114,5,117.635237,23.603793
114,5,117.73803,23.725508
114,5,117.592396,23.592326
114,5,117.619867,23.624857
114,5,117.680318,23.591767
114,5,117.800237,23.59314
114,5,117.639993,23.622869
114,5,117.371327,23.507608
114,5,117.771333,23.597797
114,5,117.586718,23.667829
114,5,117.5337,23.578574
120,5,117.543396,23.647557
120,5,117.447546,23.491945
120,5,117.721063,23.576265
120,5,117.610597,23.577508
120,5,117.6355,23.602526
120,5,117.738577,23.726238
120,5,117.593248,23.592531
120,5,117.620563,23.624461
120,5,117.58345,23.601248
120,5,117.680824,23.590427
120,5,117.640775,23.623289
120,5,117.372069,23.507142
120,5,117.772262,23.597269
120,5,117.587121,23.668619
120,5,117.534191,23.577796
126,5,117.544283,23.647889
126,5,117.479022,23.522422
126,5,117.447118,23.492116
126,5,117.721999,23.576625
126,5,117.611145,23.57714
126,5,117.636235,23.602264
126,5,117.739835,23.725433
126,5,117.594277,23.592937
126,5,117.621389,23.62523
126,5,117.584329,23.601495
126,5,117.681671,23.590057
126,5,117.801929,23.592477
126,5,117.641605,23.623632
126,5,117.372209,23.50742
126,5,117.773108,23.596934
126,5,117.588315,23.668199
132,5,117.545125,23.648293
132,5,117.479518,23.522297
132,5,117.447443,23.492033
132,5,117.722595,23.576206
132,5,117.612338,23.577648
132,5,117.636888,23.601986
132,5,117.740679,23.725544
132,5,117.595088,23.59298
132,5,117.622158,23.624504
132,5,117.585321,23.601815
132,5,117.682808,23.590959
132,5,117.802901,23.592845
132,5,117.642554,23.624782
132,5,117.373032,23.507012
132,5,117.774223,23.598057
132,5,117.588551,23.669311
132,5,117.534049,23.575883
138,5,117.480767,23.522058
138,5,117.447232,23.492101
138,5,117.724006,23.578257
138,5,117.612977,23.577441
138,5,117.637355,23.600967
138,5,117.741397,23.725862
138,5,117.596109,23.593404
138,5,117.623058,23.625137
138,5,117.683849,23.591191
138,5,117.803759,23.592852
138,5,117.643287,23.624098
138,5,117.373862,23.506551
138,5,117.774998,23.596955
138,5,117.589483,23.66936
138,5,117.533808,23.575035
144,5,117.546985,23.649005
144,5,117.481143,23.52211
144,5,117.449245,23.49116
144,5,117.72482,23.578328
144,5,117.613949,23.577698
144,5,117.638005,23.600947
144,5,117.742211,23.725912
144,5,117.597066,23.593755
144,5,117.623908,23.62506
144,5,117.586876,23.601752
144,5,117.684669,23.590915
144,5,117.804713,23.593317
144,5,117.590141,23.669694
144,5,117.533733,23.574109
150,5,117.48207,23.521959
150,5,117.449792,23.490987
150,5,117.724998,23.576758
150,5,117.615099,23.578171
150,5,117.638559,23.600288
150,5,117.742806,23.726633
150,5,117.598163,23.594464
150,5,117.62471,23.625491
150,5,117.588199,23.602672
150,5,117.685451,23.590595
150,5,117.805748,23.594269
150,5,117.645021,23.625592
150,5,117.374716,23.506418
150,5,117.777262,23.598881
150,5,117.590546,23.6706
150,5,117.533162,23.573083
156,5,117.548854,23.649476
156,5,117.482491,23.521921
156,5,117.615633,23.577789
156,5,117.639078,23.599527
156,5,117.744251,23.72555
156,5,117.599018,23.594644
156,5,117.625514,23.625524
156,5,117.58906,23.603154
156,5,117.686221,23.589823
156,5,117.806754,23.595002
156,5,117.645793,23.625877
156,5,117.375836,23.505624
156,5,117.591381,23.670725
156,5,117.533547,23.572313
162,5,117.549879,23.649809
162,5,117.483939,23.521654
162,5,117.449558,23.491065
162,5,117.727232,23.578906
162,5,117.61676,23.578301
162,5,117.639514,23.598564
162,5,117.744407,23.726942
162,5,117.626322,23.62584
162,5,117.589973,23.603282
162,5,117.687033,23.589316
162,5,117.807511,23.594093
162,5,117.646616,23.626598
162,5,117.778964,23.597987
162,5,117.592037,23.671232
162,5,117.533374,23.57142
168,5,117.550612,23.650404
168,5,117.483507,23.521848
168,5,117.449561,23.491058
168,5,117.728069,23.578997
168,5,117.61723,23.577643
168,5,117.640577,23.599462
168,5,117.745193,23.727135
168,5,117.600625,23.594717
168,5,117.627109,23.625608
168,5,117.590798,23.603345
168,5,117.688019,23.589765
168,5,117.80851,23.594824
168,5,117.647505,23.626846
168,5,117.377868,23.504348
168,5,117.780227,23.599564
168,5,117.592406,23.672142
168,5,117.533297,23.570468
174,5,117.55158,23.650603
174,5,117.48468,23.521673
174,5,117.45086,23.490537
174,5,117.728817,23.578903
174,5,117.618523,23.578519
174,5,117.641023,23.598655
174,5,117.746551,23.726255
174,5,117.601714,23.595246
174,5,117.62797,23.625455
174,5,117.591825,23.603782
174,5,117.688504,23.588262
174,5,117.809538,23.59566
174,5,117.648351,23.628173
174,5,117.593284,23.672119
174,5,117.53296,23.56951
180,5,117.552413,23.650991
180,5,117.486014,23.521452
180,5,117.451833,23.490089
180,5,117.730169,23.580836
180,5,117.619281,23.578402
180,5,117.641609,23.598255
180,5,117.746596,23.72772
180,5,117.602291,23.594892
180,5,117.628691,23.624962
180,5,117.592981,23.604572
180,5,117.689908,23.58956
180,5,117.810158,23.594225
180,5,117.64916,23.628131
180,5,117.532972,23.56862
186,5,117.553351,23.651343
186,5,117.485382,23.521661
186,5,117.730937,23.580994
186,5,117.642215,23.597749
186,5,117.748131,23.726428
186,5,117.629539,23.626116
186,5,117.59363,23.604187
186,5,117.690783,23.589472
186,5,117.649978,23.628196
186,5,117.380125,23.503305
186,5,117.782975,23.598966
186,5,117.594295,23.673511
186,5,117.5331,23.567774
192,5,117.554363,23.651587
192,5,117.452249,23.489934
192,5,117.731562,23.58009
192,5,117.620779,23.578202
192,5,117.642616,23.596485
192,5,117.748073,23.728515
192,5,117.604267,23.595839
192,5,117.630303,23.625654
192,5,117.594714,23.604792
192,5,117.691189,23.58783
192,5,117.650833,23.628894
192,5,117.380318,23.503399
192,5,117.783967,23.598973
192,5,117.594965,23.673967
